user_id,label,score,命中(超阈值),top3可疑位置(事件序号)
0xfa18edf75c103282eef8d0ce8c0e202e20641f15,0,-0.6493,0,13 14 18
0xb298242274894ce3eb9512752846f645c3f9819f,0,-0.3025,0,9 16 8
0xa84ba8a6043e59827704137776a829f955cfa0b9,0,0.5860,0,8 4 0
0x793cb6db3812be1efaf9decd457342cf11bde606,0,0.2251,0,129 130 165
0xda139836dd5e927f40405d9b67767bafdd6e3e67,0,-0.8008,0,3 1 12
0x4560b34a1899e09569841a416c298f164071430d,0,-0.5270,0,8 22 23
0x44a397e02ac6a16dec85be956a314edbb519803f,0,0.8344,0,140 144 92
0x20eedcfca964cf8b491b394018c2d094076a830f,0,0.8477,0,40 56 45
0x4c91feecdca6a3eb04bbb3a9598c9f3093d4d4c1,0,0.8860,0,1 0 14
0x0bfa10ad6edb8b11424d72bb2d2e83cae3343a14,0,-0.7987,0,4 5 6
0x76ab8405b80f3f68636c7a7c39587cb85f006647,0,0.3016,0,52 53 159
0x8b1319d33601aef3423b0e8b464f1484f50d505e,0,0.3628,0,6 0 9
0xb5bdd53424c8caea723fc94536e750acf90377ea,0,0.3594,0,1 0 2
0x63ab39a21606c6a4949a2dc75ccdd95c1a8a87a2,0,0.7646,0,3 8 1
0x0dddff5d17e1f20d4829727d916103bdbff56d49,0,-0.7863,0,14 16 18
0xb1d9d8aa4489f145a80798c843aef22a5dda9e24,0,-0.6017,0,10 11 9
0xf5c25657bf3f7f7717d1b59f8eec4087ca17eb3a,0,-0.6437,0,11 3 8
0x59abcb671f1057d3889b650f691c2667039638cf,0,0.6639,0,10 4 9
0xa6fcd58d300db4bc65f57c18fc6b6265ac05e95c,0,0.0616,0,13 32 16
0x008a23438c9a14075a1c4c21cd634d34deb81d07,0,-0.1568,0,6 13 2
0x5a0b5459d5b4d9a47cebb89c417f678f05dfd898,0,-0.7505,0,1 0 2
0xc2f78e735634c9f57c11d18748e2aae6cd508218,0,-0.7116,0,8 3 2
0x3e81b4ad0beee4466b4aeb152e4576ecff1195a2,0,0.5329,0,11 27 26
0x8f77293df4ab58beae531084bab5769d36a82bc8,0,0.8375,0,10 15 9
0x5b6fcab2c8ca0fc445eb5ad8aa4b51a028c0b964,0,-0.3267,0,3 0 1
0xba9631a45d0859459abac953ff76a81e5710a5b9,0,-0.5656,0,47 42 79
0xa82dfc4b86908dda17b0189fc04300d5f3516b0f,0,-0.0563,0,2 8 3
0xefa08fe57b1d56ddbf09d45a6a02d9f46acb69be,0,0.2463,0,16 0 7
0xc1b6e513b3d0b7baa341eea0a07d39b00c525abb,0,-0.7620,0,4 20 31
0xe67174da63c77273e92e4cb50355a91ac161506a,0,-0.7344,0,11 3 4
0xf0adf951e842cdcde4aabbd7d0bcd55321ae574f,0,-0.3104,0,9 10 8
0x8adb162bec3a14622c57daec23d62c9527e8f001,0,-0.5881,0,4 17 14
0x9433712e52166900f0c3c0ba6d5726bc562a39a8,0,0.4837,0,10 6 5
0xf50f263c6e15bb30cd4ca5bbff09e4602cf90319,0,-0.7752,0,9 8 4
0x36f60b553b66d63ccbf8d633223b57ea9ed95558,0,-0.1524,0,12 21 19
0xe80cd5b0f93f16d2051c5928fe2cf2b9f1b546aa,0,-0.3068,0,0 2 1
0x3cc53585f907c3d78b256810efcf2cecb23f4034,0,0.5403,0,3 1 0
0xdeff6e87f767311905106d19dd73db8993696bb9,0,-0.7123,0,6 5 9
0x64a31c2f28e194e670666711117314784fdc5c6c,0,-0.7515,0,1 8 4
0x50d6e0681119e1a3d2e5629b09964031bf049786,0,-0.5845,0,46 44 53
0xc4b92d1e8dea5ef96fdd31bb8f218be672fae315,0,-0.8358,0,4 1 2
0x1c2e88986e469ebaeade33a303aef946f7481e09,0,0.4887,0,13 16 14
0xe4c24bf516fcfd1f63c5c6ebce805ab65efd30b2,0,0.6886,0,7 5 2
0x453d2dc8a57f89de0b840840ea14cdeee171dba9,0,-0.1384,0,6 1 8
0xc2ae8fcf5c1c1c92a27fcd7ae414ae50e036582d,0,-0.4783,0,23 40 21
0xd80a761e8eb1a5668f8f428f07b8674d730e1176,0,-0.7393,0,3 16 7
0x643ddfe51c959098f80f0e4a42052ff1781bdbd1,0,0.3429,0,5 8 6
0x84b9bef9b68af10fcd5cda639087064ea880dc38,0,-0.7333,0,2 7 9
0x8d0eece9b165c02b58963fb6327689beba391e53,0,0.0713,0,10 19 3
0xff5537ffa2fd22ba764b06ae2c24f738c3675d71,0,0.4472,0,5 10 11
0xd5b37c9fa18f95c31538f12ce1939fa9f90c6cb4,0,0.0479,0,10 15 4
0xecd114c328eeb1ac027007d61303ec29d64c6106,0,0.5694,0,7 2 1
0x836848846b8aa9f95e7aab305bdef7fc1a15e92e,0,0.9658,0,6 5 0
0xc05a9024e46541d5298ea35a4b5a8946ff4c17c5,0,-0.4537,0,6 12 9
0x07d9fb22f98549af3a6773ce7cf9b7d89155cbcd,0,0.5416,0,1 21 14
0x053f7867f10d49b746ff931fc94cd5c51845ce34,0,-0.7973,0,14 12 1
0xb1647b8b3d011678010a1ff28492e174497624f6,0,-0.5369,0,7 8 16
0x5e83001984a9c392faae761af4935cfc47edc4b9,0,-0.8037,0,10 9 19
0x9fc2e2cf271dba228bd1ac52c93b3119a5b6ad29,0,0.5488,0,5 8 7
0x117400fd172ef544baa2f63c7c59902f69a77cc4,0,0.4972,0,25 26 0
0xc3dbabfa446f65f54d10c2b5ddc5c121c7d9f6be,0,0.7516,0,101 85 100
0xf9db46a83c2a14f4d481f5d7e9d3683cb42cfc3c,0,0.7802,0,160 130 32
0x76d214efd13600411c64d388f6e31737f14ef416,0,-0.6705,0,2 24 31
0x587ec2381c03404d5b89ae2c1c3b8c05d6a44003,0,0.8766,0,77 62 22
0x6b9d131ef654a58769ddddaa5f95be4af35c45ec,0,-0.6470,0,28 26 6
0xf4c317c356c22caa121462a81571a275276c52b9,0,-0.7506,0,12 1 5
0x4ed29c8fdd661aff62813c94c4e12ed6cf7f3919,0,-0.7558,0,12 3 8
0x68fb38560b39b4622ef729a95ebe63f4adabffd1,0,0.3076,0,11 15 25
0x9be98a23ecf71bc4cb0025deb660958bc02c27d2,0,0.0351,0,1 4 12
0xa032b6fa85464fa81cf0c100d3229a1031dc14b2,0,-0.6123,0,149 195 189
0x52bcd9935d88b5459a8c232faeb93354ba451442,0,-0.8489,0,12 1 10
0xc2c9ac3af97f0a9e9b461a62681ffbcaf9d82a63,0,-0.2946,0,10 22 5
0x7f96243fb705d5d5e018a680ade1013995992e2c,0,-0.1110,0,12 0 15
0x0be8ad0126db2b6f8f9f2033a415614946846446,0,0.4364,0,6 11 2
0x5305e5ba7a960384da8b37e77e04deb1a625c5ef,0,-0.6838,0,6 9 5
0xd92f497717eb2fd0fa16107e6ab34d647dceae08,0,-0.7393,0,1 2 7
0x58500d7ea6cfc8d8e132b8992317eb9e1926e57c,0,-0.7568,0,8 9 5
0xad09bf7a4298318c570dcba084211e06f6d1ea0e,0,0.7660,0,0 10 2
0x285532091713680153784bb94766eefec80a2a73,0,0.2922,0,8 16 5
0x4468dca9fce9f4c5b39851de46af225b7e24e11c,0,-0.3174,0,13 17 19
0x7584c993fafd102b40837a01fc018ee3fbccf6c4,0,-0.7465,0,17 10 8
0x211cb161b2dd0ef74d8a0aebf79571f58ee34a0a,0,-0.6005,0,1 4 9
0xde3ef395fadf0b15b570de0c06e813c2b4e87d78,0,-0.4284,0,20 0 1
0x1d9541b98d972d0cb795628314ba96a4a4e7f44c,0,-0.5242,0,0 9 5
0xb5afb9dbc0ace3b351d174dea59cbf5ef4b91771,0,-0.6258,0,1 0 20
0x0cd508759c0e4934cdff81b9cfea03713e0bbcbd,0,-0.1727,0,2 11 3
0x02afe127ef143dbe616ef87d6305f92f74968396,0,0.3044,0,6 15 20
0x81d54525032ad45eb0ae914f34e38a773799a180,0,-0.4178,0,5 4 0
0xc5fa4121d147f2263cdd184ee789fc2d76eb3595,0,-0.0733,0,9 3 6
0x15ce1c5219bfe5d103cff5013c2977035308d4aa,0,-0.6161,0,47 4 34
0x3e5a43812eb07520195162bf9f6eb7d3a65425d5,0,0.9389,0,10 3 1
